Captura_Sistema,Web_Fecha_Origen,Web_Hora_Origen,Temp_Actual_C,Temp_Min_Diaria_C,Temp_Max_Diaria_C,Temp_Hora_Min,Temp_Hora_Max,Temp_Min_Mensual_C,Temp_Max_Mensual_C,Hum_Actual_pct,Hum_Min_Diaria_pct,Hum_Max_Diaria_pct,Hum_Hora_Min,Hum_Hora_Max,Punto_Rocio_C,Presion_hPa,Viento_Vel_kmh,Viento_Dir,Viento_Max_kmh,Viento_Hora_Max,Lluvia_Dia_mm,Lluvia_Mes_mm,ET_Dia_mm,Rad_Solar_Wm2,UV_Indice,UV_Max_Diaria,UV_Hora_Max
2026-05-09 15:31:16,09/05/26,12:25p,10.1,5.8,10.1,4:48a,12:25p,2.3,26.1,86,50,94,12:02a,6:32a,7.9,1016.3,0,SO,0,,2.0,43.2,0.51,322,1.8,2.3,12:22p
2026-05-09 16:35:30,09/05/26,1:30p,10.3,5.8,10.9,4:48a,1:18p,2.3,26.1,83,50,94,12:02a,6:32a,7.5,1016.5,0,SO,0,,2.0,43.2,0.63,176,2.5,2.7,1:14p
2026-05-09 19:45:00,09/05/26,4:40p,11.8,5.8,12.2,4:48a,3:52p,2.3,26.1,74,50,94,12:02a,6:32a,7.3,1017.4,0,SO,0,,2.0,43.2,1.12,116,0.5,3.3,1:31p
2026-05-09 22:25:49,09/05/26,7:20p,10.6,5.8,12.2,4:48a,3:52p,2.3,26.1,77,50,94,12:02a,6:32a,6.7,1019.3,0,SO,0,,2.0,43.2,1.35,0,0.0,3.3,1:31p
2026-05-10 04:36:02,09/05/26,10:55p,8.8,5.8,12.2,4:48a,3:52p,2.3,26.1,79,50,94,12:02a,6:32a,5.3,1021.8,0,OSO,0,,2.0,43.2,1.42,0,0.0,3.3,1:31p
2026-05-10 08:29:54,09/05/26,10:55p,8.8,5.8,12.2,4:48a,3:52p,2.3,26.1,79,50,94,12:02a,6:32a,5.3,1021.8,0,OSO,0,,2.0,43.2,1.42,0,0.0,3.3,1:31p
2026-05-10 10:48:08,0,0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,S,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-05-10 14:07:53,10/05/26,11:05a,10.7,4.7,10.7,7:28a,11:05a,2.3,26.1,61,60,85,11:01a,4:06a,3.4,1021.6,0,NO,0,,0.0,43.2,0.61,555,2.3,2.3,11:02a
2026-05-10 16:36:18,0,0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,S,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
2026-05-10 19:45:44,10/05/26,4:40p,15.1,4.7,15.3,7:28a,4:22p,2.3,26.1,41,41,85,3:50p,4:06a,1.9,1018.8,0,SO,0,,0.0,43.2,2.49,237,0.7,3.0,12:22p
2026-05-10 22:28:48,10/05/26,7:25p,11.5,4.7,15.3,7:28a,4:22p,2.3,26.1,58,41,85,3:50p,4:06a,3.5,1020.0,0,NO,0,,0.0,43.2,2.84,0,0.0,3.0,12:22p
2026-05-11 04:47:42,10/05/26,10:55p,7.7,4.7,15.3,7:28a,4:22p,2.3,26.1,75,41,85,3:50p,4:06a,3.5,1021.7,0,O,0,,0.0,43.2,2.92,0,0.0,3.0,12:22p
2026-05-11 10:25:42,11/05/26,7:20a,2.8,2.8,6.8,7:18a,12:44a,2.3,26.1,90,79,92,12:45a,5:36a,1.4,1021.7,0,NO,0,,0.0,43.2,0.00,0,0.0,0.0,
2026-05-11 15:48:50,11/05/26,12:45p,14.6,2.6,14.6,7:30a,12:43p,2.3,26.1,55,55,93,12:45p,8:02a,5.6,1019.7,0,NO,0,,0.0,43.2,0.71,642,3.2,3.2,12:36p
2026-05-11 20:24:25,11/05/26,5:20p,17.2,2.6,17.7,7:30a,4:33p,2.3,26.1,47,44,93,4:09p,8:02a,5.8,1016.3,0,NNE,0,,0.0,43.2,2.31,23,0.0,3.2,12:36p
2026-05-11 22:39:15,11/05/26,7:35p,14.0,2.6,17.7,7:30a,4:33p,2.3,26.1,58,44,93,4:09p,8:02a,5.9,1016.7,0,NO,0,,0.0,43.2,2.41,0,0.0,3.2,12:36p
